frame,qr,esquina,x,y
72,127,right_bottom,552,528
72,71,left_top,110,581
72,71,left_bottom,107,537
72,71,right_top,162,580
72,71,right_bottom,159,534
72,127,left_top,500,571
72,127,left_bottom,503,522
72,127,right_top,550,579
72,127,right_bottom,552,528
73,127,left_top,507,571
73,127,left_bottom,509,522
73,127,right_top,556,579
73,127,right_bottom,558,529
73,71,left_top,118,579
73,71,left_bottom,114,533
73,71,right_top,169,576
73,71,right_bottom,166,531
73,127,left_top,507,571
73,127,left_bottom,509,522
73,127,right_top,556,579
73,127,right_bottom,558,529
74,127,left_top,513,569
74,127,left_bottom,516,519
74,127,right_top,562,577
74,127,right_bottom,565,526
74,127,left_top,513,569
74,127,left_bottom,516,519
74,127,right_top,562,577
74,127,right_bottom,565,526
75,127,left_top,519,570
75,127,left_bottom,522,521
75,127,right_top,568,579
75,127,right_bottom,571,528
75,71,left_top,134,573
75,71,left_bottom,130,529
75,71,right_top,183,572
75,71,right_bottom,181,528
75,127,left_top,519,570
75,127,left_bottom,522,521
75,127,right_top,568,579
75,127,right_bottom,571,528
76,71,left_top,140,573
76,71,left_bottom,136,529
76,71,right_top,189,572
76,71,right_bottom,187,528
77,127,left_top,525,577
77,127,left_bottom,529,528
77,127,right_top,574,587
77,127,right_bottom,577,536
77,71,left_top,147,575
77,71,left_bottom,144,531
77,71,right_top,196,574
77,71,right_bottom,193,531
77,127,left_top,525,577
77,127,left_bottom,529,528
77,127,right_top,574,587
77,127,right_bottom,577,536
78,127,left_top,531,582
78,127,left_bottom,534,534
78,127,right_top,578,593
78,127,right_bottom,582,542
78,71,left_top,155,576
78,71,left_bottom,152,532
78,71,right_top,203,576
78,71,right_bottom,201,533
78,127,left_top,531,582
78,127,left_bottom,534,534
78,127,right_top,578,593
78,127,right_bottom,582,542
79,127,left_top,534,585
79,127,left_bottom,538,537
79,127,right_top,582,596
79,127,right_bottom,586,546
79,71,left_top,162,574
79,71,left_bottom,159,530
79,71,right_top,210,574
79,71,right_bottom,208,532
79,127,left_top,534,585
79,127,left_bottom,538,537
79,127,right_top,582,596
79,127,right_bottom,586,546
80,127,left_top,540,585
80,127,left_bottom,543,537
80,127,right_top,586,597
80,127,right_bottom,590,547
80,127,left_top,540,585
80,127,left_bottom,543,537
