frame,qr,esquina,x,y
15,122,left_bottom,66,624
15,122,right_top,117,658
15,122,right_bottom,112,614
15,82,left_top,20,820
15,82,left_bottom,12,776
15,82,right_top,59,801
15,82,right_bottom,51,757
15,106,left_top,510,533
15,106,left_bottom,511,491
15,106,right_top,556,535
15,106,right_bottom,558,493
15,115,left_top,436,631
15,115,left_bottom,437,591
15,115,right_top,479,634
15,115,right_bottom,481,593
15,113,left_top,438,528
15,113,left_bottom,439,486
15,113,right_top,483,530
15,113,right_bottom,485,488
15,116,left_top,434,682
15,116,left_bottom,435,643
15,116,right_top,476,686
15,116,right_bottom,478,646
16,79,left_top,4,640
16,79,left_bottom,3,591
16,79,right_top,45,626
16,79,right_bottom,44,579
16,121,left_top,70,612
16,121,left_bottom,65,566
16,121,right_top,115,602
16,121,right_bottom,111,557
16,138,left_top,151,658
16,138,left_bottom,146,614
16,138,right_top,190,647
16,138,right_bottom,186,604
16,80,left_top,8,702
16,80,left_bottom,3,654
16,80,right_top,50,686
16,80,right_bottom,46,639
16,83,left_top,35,876
16,83,left_bottom,28,833
16,83,right_top,72,855
16,83,right_bottom,65,812
16,123,left_top,82,726
16,123,left_bottom,77,683
16,123,right_top,128,714
16,123,right_bottom,123,672
16,106,left_top,515,537
16,106,left_bottom,515,495
16,106,right_top,561,539
16,106,right_bottom,563,497
17,79,left_top,9,640
17,79,left_bottom,9,591
17,79,right_top,50,626
17,79,right_bottom,49,579
17,121,left_top,75,612
17,121,left_bottom,70,566
17,121,right_top,120,603
17,121,right_bottom,117,557
17,120,left_top,69,553
17,120,left_bottom,64,504
17,120,right_top,115,544
17,120,right_bottom,111,497
17,80,left_top,14,701
17,80,left_bottom,9,653
17,80,right_top,55,686
17,80,right_bottom,51,640
17,123,left_top,88,726
17,123,left_bottom,82,683
17,123,right_top,132,714
17,123,right_bottom,128,672
17,113,left_top,446,535
17,113,left_bottom,446,493
17,113,right_top,491,537
17,113,right_bottom,492,495
17,106,left_top,518,540
17,106,left_bottom,518,498
17,106,right_top,564,543
17,106,right_bottom,566,500
18,79,left_top,17,640
18,79,left_bottom,16,592
18,79,right_top,58,627
18,79,right_bottom,57,580
18,120,left_top,77,554
18,120,left_bottom,72,506
18,120,right_top,123,546
18,120,right_bottom,119,499
18,138,left_top,163,660
18,138,left_bottom,158,617
18,138,right_top,202,650
18,138,right_bottom,199,606
18,107,left_top,523,595
18,107,left_bottom,524,555
18,107,right_top,569,598
18,107,right_bottom,570,558
18,106,left_top,524,543
18,106,left_bottom,524,501
18,106,right_top,570,546
18,106,right_bottom,572,503
19,79,left_top,23,640
19,79,left_bottom,23,594
19,79,right_top,64,628
19,79,right_bottom,64,583
19,121,left_top,89,615
19,121,left_bottom,85,570
19,121,right_top,134,606
19,121,right_bottom,131,562
19,138,left_top,169,662
19,138,left_bottom,165,619
19,138,right_top,209,652
19,138,right_bottom,205,609
19,122,left_top,95,672
19,122,left_bottom,90,628
19,122,right_top,140,662
19,122,right_bottom,136,619
19,80,left_top,27,701
19,80,left_bottom,23,654
19,80,right_top,69,687
19,80,right_bottom,65,641
19,106,left_top,529,548
19,106,left_bottom,530,505
19,106,right_top,576,550
19,106,right_bottom,578,508
20,79,left_top,26,643
20,79,left_bottom,25,597
20,79,right_top,67,631
20,79,right_bottom,67,585
20,121,left_top,93,618
20,121,left_bottom,88,573
20,121,right_top,137,609
20,121,right_bottom,134,565
20,82,left_top,44,816
20,82,left_bottom,37,773
20,82,right_top,83,799
20,82,right_bottom,77,756
20,80,left_top,30,703
20,80,left_bottom,26,656
20,80,right_top,72,689
20,80,right_bottom,68,643
20,120,left_top,87,559
20,120,left_bottom,82,512
20,120,right_top,133,552
20,120,right_bottom,129,506
20,113,left_top,462,546
20,113,left_bottom,462,504
20,113,right_top,506,549
20,113,right_bottom,507,507
20,107,left_top,532,604
20,107,left_bottom,533,564
20,107,right_top,578,607
20,107,right_bottom,579,568
20,106,left_top,533,553
20,106,left_bottom,533,510
20,106,right_top,579,555
20,106,right_bottom,581,512
21,121,left_top,95,620
21,121,left_bottom,91,575
21,121,right_top,139,611
21,121,right_bottom,137,567
21,79,left_top,28,644
21,79,left_bottom,28,598
21,79,right_top,70,632
21,79,right_bottom,70,587
21,80,left_top,32,703
21,80,left_bottom,28,657
21,80,right_top,74,689
21,80,right_bottom,71,645
21,125,left_top,120,833
21,125,left_bottom,115,794
21,125,right_top,163,822
21,125,right_bottom,158,782
21,140,left_top,164,555
21,140,left_bottom,160,509
21,140,right_top,206,549
21,140,right_bottom,204,504
21,120,left_top,90,561
21,120,left_bottom,85,514
21,120,right_top,135,554
21,120,right_bottom,132,508
21,122,left_top,101,675
21,122,left_bottom,95,632
21,122,right_top,145,666
21,122,right_bottom,141,623
21,106,left_top,534,557
21,106,left_bottom,534,515
21,106,right_top,580,561
21,106,right_bottom,581,518
22,121,left_top,99,619
22,121,left_bottom,95,574
22,121,right_top,143,610
22,121,right_bottom,141,567
22,120,left_top,94,561
22,120,left_bottom,89,514
22,120,right_top,139,554
22,120,right_bottom,136,509
22,138,left_top,178,665
22,138,left_bottom,174,623
22,138,right_top,218,656
22,138,right_bottom,215,615
22,80,left_top,36,701
22,80,left_bottom,32,655
22,80,right_top,78,688
22,80,right_bottom,75,644
22,77,left_top,14,956
22,77,left_bottom,2,911
22,77,right_top,56,932
22,77,right_bottom,43,889
22,113,left_top,465,552
22,113,left_bottom,465,511
22,113,right_top,510,556
22,113,right_bottom,511,514
22,106,left_top,536,560
22,106,left_bottom,536,518
22,106,right_top,582,563
22,106,right_bottom,583,520
22,115,left_top,464,654
22,115,left_bottom,465,614
22,115,right_top,506,659
22,115,right_bottom,508,617
23,121,left_top,105,619
23,121,left_bottom,100,575
23,121,right_top,149,611
23,121,right_bottom,146,568
23,140,left_top,172,556
23,140,left_bottom,169,511
23,140,right_top,215,550
23,140,right_bottom,213,506
23,120,left_top,99,562
23,120,left_bottom,94,516
23,120,right_top,144,555
23,120,right_bottom,141,510
23,80,left_top,41,700
23,80,left_bottom,37,655
23,80,right_top,83,688
23,80,right_bottom,80,644
23,77,left_top,18,953
23,77,left_bottom,6,909
23,77,right_top,60,929
23,77,right_bottom,47,887
23,138,left_top,182,666
23,138,left_bottom,179,624
23,138,right_top,222,657
23,138,right_bottom,220,615
23,113,left_top,469,554
23,113,left_bottom,469,513
23,113,right_top,513,557
23,113,right_bottom,514,516
23,106,left_top,540,562
23,106,left_bottom,539,520
23,106,right_top,585,565
23,106,right_bottom,586,522
24,79,left_top,42,646
24,79,left_bottom,41,602
24,79,right_top,83,635
24,79,right_bottom,83,591
24,121,left_top,108,623
24,121,left_bottom,104,580
24,121,right_top,152,616
24,121,right_bottom,149,573
24,120,left_top,103,567
24,120,left_bottom,98,521
24,120,right_top,148,560
24,120,right_bottom,145,515
24,80,left_top,45,703
24,80,left_bottom,41,659
24,80,right_top,87,692
24,80,right_bottom,84,648
24,77,left_top,20,954
24,77,left_bottom,8,911
24,77,right_top,62,931
24,77,right_bottom,49,889
25,120,left_top,102,573
25,120,left_bottom,98,527
25,120,right_top,148,566
25,120,right_bottom,144,522
25,140,left_top,176,567
25,140,left_bottom,172,522
25,140,right_top,218,562
25,140,right_bottom,216,518
25,80,left_top,44,709
25,80,left_bottom,40,664
25,80,right_top,86,697
25,80,right_bottom,83,653
25,122,left_top,113,683
25,122,left_bottom,108,641
25,122,right_top,157,676
25,122,right_bottom,153,633
25,138,left_top,185,675
25,138,left_bottom,181,634
25,138,right_top,225,667
25,138,right_bottom,222,626
25,121,left_top,108,629
25,121,left_bottom,103,586
25,121,right_top,151,621
25,121,right_bottom,149,579
25,77,left_top,19,958
25,77,left_bottom,7,914
25,77,right_top,60,935
25,77,right_bottom,48,893
25,113,left_top,471,565
25,113,left_bottom,471,525
25,113,right_top,516,570
25,113,right_bottom,516,528
25,106,left_top,541,574
25,106,left_bottom,541,532
25,106,right_top,587,578
25,106,right_bottom,588,535
26,139,left_top,181,626
26,139,left_bottom,177,584
26,139,right_top,222,619
26,139,right_bottom,220,578
26,140,left_top,177,572
26,140,left_bottom,173,527
26,140,right_top,219,566
26,140,right_bottom,217,522
26,121,left_top,108,633
26,121,left_bottom,105,590
26,121,right_top,152,626
26,121,right_bottom,150,583
26,77,left_top,19,960
26,77,left_bottom,8,916
26,77,right_top,61,938
26,77,right_bottom,49,895
26,82,left_top,58,821
26,82,left_bottom,51,779
26,82,right_top,97,806
26,82,right_bottom,91,766
26,87,left_top,396,660
26,87,left_bottom,397,620
26,87,right_top,437,663
26,87,right_bottom,439,623
26,106,left_top,541,580
26,106,left_bottom,539,538
26,106,right_top,586,584
26,106,right_bottom,586,542
27,120,left_top,108,580
27,120,left_bottom,104,535
27,120,right_top,153,573
27,120,right_bottom,150,529
27,138,left_top,190,682
27,138,left_bottom,187,641
27,138,right_top,231,673
27,138,right_bottom,227,633
27,122,left_top,119,689
27,122,left_bottom,114,648
27,122,right_top,163,682
27,122,right_bottom,159,640
27,77,left_top,24,960
27,77,left_bottom,13,917
27,77,right_top,66,938
27,77,right_bottom,54,896
27,121,left_top,114,635
27,121,left_bottom,109,593
27,121,right_top,157,628
27,121,right_bottom,155,586
27,140,left_top,181,574
27,140,left_bottom,178,530
27,140,right_top,224,569
27,140,right_bottom,221,525
27,113,left_top,474,574
27,113,left_bottom,473,534
27,113,right_top,518,578
27,113,right_bottom,518,537
27,106,left_top,542,583
27,106,left_bottom,542,541
27,106,right_top,588,588
27,106,right_bottom,588,545
28,121,left_top,121,638
28,121,left_bottom,117,596
28,121,right_top,165,631
28,121,right_bottom,162,589
28,140,left_top,188,577
28,140,left_bottom,185,533
28,140,right_top,231,572
28,140,right_bottom,228,529
28,120,left_top,115,583
28,120,left_bottom,111,538
28,120,right_top,161,576
28,120,right_bottom,157,533
28,138,left_top,197,685
28,138,left_bottom,194,643
28,138,right_top,238,676
28,138,right_bottom,234,635
28,80,left_top,58,716
28,80,left_bottom,55,673
28,80,right_top,100,705
28,80,right_bottom,97,662
28,113,left_top,480,577
28,113,left_bottom,480,536
28,113,right_top,524,581
28,113,right_bottom,524,539
28,106,left_top,550,585
28,106,left_bottom,548,544
28,106,right_top,595,590
28,106,right_bottom,595,547
29,140,left_top,195,582
29,140,left_bottom,191,539
29,140,right_top,238,577
29,140,right_bottom,235,534
29,78,left_top,61,609
29,78,left_bottom,62,564
29,78,right_top,103,600
29,78,right_bottom,102,555
29,121,left_top,129,643
29,121,left_bottom,124,601
29,121,right_top,172,636
29,121,right_bottom,169,594
29,138,left_top,205,689
29,138,left_bottom,201,648
29,138,right_top,245,681
29,138,right_bottom,241,641
30,121,left_top,133,649
30,121,left_bottom,129,607
30,121,right_top,177,642
30,121,right_bottom,173,600
30,87,left_top,419,676
30,87,left_bottom,420,636
30,87,right_top,461,679
30,87,right_bottom,462,639
30,113,left_top,493,588
30,113,left_bottom,491,547
30,113,right_top,536,592
30,113,right_bottom,536,550
30,106,left_top,561,597
30,106,left_bottom,560,555
30,106,right_top,607,601
30,106,right_bottom,607,558
31,120,left_top,130,602
31,120,left_bottom,126,558
31,120,right_top,175,595
31,120,right_bottom,171,552
31,122,left_top,141,708
31,122,left_bottom,136,668
31,122,right_top,184,702
31,122,right_bottom,180,660
31,87,left_top,421,684
31,87,left_bottom,422,644
31,87,right_top,462,687
31,87,right_bottom,464,647
31,106,left_top,563,604
31,106,left_bottom,562,563
31,106,right_top,609,610
31,106,right_bottom,609,566
32,120,left_top,132,607
32,120,left_bottom,128,564
32,120,right_top,177,602
32,120,right_bottom,173,558
32,79,left_top,70,684
32,79,left_bottom,70,641
32,79,right_top,112,673
32,79,right_bottom,112,631
32,122,left_top,142,715
32,122,left_bottom,138,674
32,122,right_top,186,708
32,122,right_bottom,182,667
32,80,left_top,74,739
32,80,left_bottom,70,696
32,80,right_top,115,728
32,80,right_bottom,113,685
32,82,left_top,85,846
32,82,left_bottom,79,804
32,82,right_top,124,832
32,82,right_bottom,119,791
32,87,left_top,423,691
32,87,left_bottom,424,651
32,87,right_top,464,695
32,87,right_bottom,466,655
32,113,left_top,496,603
32,113,left_bottom,495,563
32,113,right_top,540,608
32,113,right_bottom,539,566
32,106,left_top,565,613
32,106,left_bottom,563,571
32,106,right_top,611,617
32,106,right_bottom,610,575
33,78,left_top,71,631
33,78,left_bottom,72,587
33,78,right_top,113,623
33,78,right_bottom,113,579
33,120,left_top,134,612
33,120,left_bottom,129,568
33,120,right_top,178,605
33,120,right_bottom,175,562
33,121,left_top,138,666
33,121,left_bottom,135,624
33,121,right_top,182,659
33,121,right_bottom,179,618
33,80,left_top,75,742
33,80,left_bottom,71,699
33,80,right_top,116,731
33,80,right_bottom,114,689
33,122,left_top,143,719
33,122,left_bottom,139,677
33,122,right_top,187,711
33,122,right_bottom,183,671
33,106,left_top,566,619
33,106,left_bottom,564,577
33,106,right_top,612,624
33,106,right_bottom,611,582
34,71,left_top,1,646
34,71,left_bottom,1,598
34,71,right_top,50,636
34,71,right_bottom,51,591
34,120,left_top,139,614
34,120,left_bottom,135,570
34,120,right_top,184,608
34,120,right_bottom,180,565
34,122,left_top,148,721
34,122,left_bottom,145,680
34,122,right_top,192,715
34,122,right_bottom,189,673
34,121,left_top,144,669
34,121,left_bottom,140,627
34,121,right_top,187,662
34,121,right_bottom,185,620
34,87,left_top,429,700
34,87,left_bottom,431,660
34,87,right_top,470,704
34,87,right_bottom,472,664
34,86,left_top,431,649
34,86,left_bottom,429,611
34,86,right_top,472,654
34,86,right_bottom,470,616
34,113,left_top,502,613
34,113,left_bottom,501,573
34,113,right_top,546,618
34,113,right_bottom,545,577
34,106,left_top,571,623
34,106,left_bottom,570,582
34,106,right_top,617,629
34,106,right_bottom,616,586
35,120,left_top,145,617
35,120,left_bottom,141,573
35,120,right_top,190,611
35,120,right_bottom,187,569
35,121,left_top,150,671
